timestamp,Open,High,Low,Close,volume,marketCap,weight_mean,difficulty_mean,reward_mean,total_of_transactions,total_of_witness,total_input,total_output,total_fees,label
2010-07-14,0.05815725,0.06158806,0.04864654,0.05640216,261.54,190259.65,11388.193771626298,45.38582234101301,5000001730.103807,6132.0,0.0,6743.0,11468.0,1000000.0,1
2010-07-15,0.05640261,0.06795437,0.05396921,0.05756808,445.8,195982.14,3489.185897435897,45.38582234101301,5000105769.230769,1330.0,0.0,2802.0,1797.0,66000000.0,1
2010-07-16,0.05800138,0.07222029,0.05748353,0.0664917,497.25,228047.42,2447.271287128713,62.37180337557008,5000053465.346535,1181.0,0.0,1474.0,1616.0,27000000.0,1
2010-07-17,0.0664999,0.07773513,0.05741781,0.06599255,19.99,226904.8,2922.6127167630057,181.54328936405,5000028901.734104,408.0,0.0,674.0,550.0,5000000.0,1
2010-07-18,0.06608795,0.0808581,0.06422061,0.0788138,75.13,271669.2,3385.139534883721,181.54328936405,5000482558.139535,420.0,0.0,784.0,572.0,83000000.0,1
2010-07-19,0.07879913,0.08360209,0.06903579,0.07416855,573.24,256302.41,3348.1609195402298,181.54328936405,5000051724.137931,528.0,0.0,730.0,724.0,9000000.0,1
2010-07-20,0.07413588,0.07751477,0.06428795,0.07195755,262.35,249313.13,4262.828729281768,181.54328936405005,5000000000.0,594.0,0.0,913.0,905.0,0.0,1
2010-07-21,0.07193466,0.07646131,0.06425164,0.07439057,572.81,258512.82,2493.932367149758,181.54328936405,5000000000.0,463.0,0.0,679.0,599.0,0.0,1
2010-07-22,0.07417871,0.07503002,0.05103308,0.05887483,2167.06,205112.55,2291.6136363636365,181.54328936405,5000000000.0,397.0,0.0,471.0,524.0,0.0,1
2010-07-23,0.0588808,0.06889604,0.05570779,0.06263688,2398.46,218826.51,2112.639175257732,181.54328936405,5000005154.639175,411.0,0.0,498.0,523.0,1000000.0,1
2010-07-24,0.0626421,0.07964052,0.06156405,0.06975554,496.83,244352.06,6106.243386243386,181.54328936405005,5000000000.0,894.0,0.0,1377.0,1307.0,0.0,1
2010-07-25,0.06976299,0.07825864,0.06472816,0.06895142,1555.03,242332.21,12902.7012987013,181.54328936405,5001255411.255411,1823.0,0.0,3495.0,3336.0,290000000.0,1
